GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2024092210,2024-09-22,4,6,24,BAL,DAL,2,4,59,,0,,0,"(6:24) 22-D.HENRY UP THE MIDDLE TO DAL 40 FOR 1 YARD (6-DO.WILSON; 50-E.KENDRICKS).",0,,,2024,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,41,OPP,0,,0,,0
2024092210,2024-09-22,4,7,5,BAL,DAL,1,10,53,,0,,0,"(7:05) 22-D.HENRY RIGHT END TO DAL 41 FOR 6 YARDS (18-D.CLARK).",0,,,2024,6,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT END",47,OPP,0,,0,,0
2024092210,2024-09-22,4,7,7,BAL,DAL,0,0,65,,1,,0,"17-B.AUBREY KICKS ONSIDE 12 YARDS FROM DAL 35 TO DAL 47. 4-Z.FLOWERS (DIDN'T TRY TO ADVANCE) RAN OB AT DAL 47 FOR NO GAIN.",0,,,2024,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OPP,0,,0,,0
2024092210,2024-09-22,4,7,7,DAL,BAL,0,0,98,,1,,0,"TWO-POINT CONVERSION ATTEMPT. 4-D.PRESCOTT PASS TO 23-R.DOWDLE IS INCOMPLETE. ATTEMPT FAILS.",0,,,2024,0,"UNDER CENTER","TWO-POINT CONVERSION",0,0,0,0,,0,0,0,,0,0,0,0,1,0,,2,OPP,0,,0,,0
2024092210,2024-09-22,4,7,12,DAL,BAL,2,10,85,,1,,0,"(7:12) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 1-J.TOLBERT FOR 15 YARDS, TOUCHDOWN.",0,,,2024,15,SHOTGUN,PASS,0,1,0,1,"SHORT MIDDLE",0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2024092210,2024-09-22,4,7,16,DAL,BAL,1,10,85,,0,,0,"(7:16) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 86-L.SCHOONMAKER.",0,,,2024,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2024092210,2024-09-22,4,7,35,DAL,BAL,3,4,61,,1,,0,"(7:35) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 83-J.BROOKS TO BAL 15 FOR 24 YARDS (2-N.WIGGINS) [44-M.HUMPHREY].",0,,,2024,24,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,39,OPP,0,,0,,0
2024092210,2024-09-22,4,7,58,DAL,BAL,2,10,55,,0,,0,"(7:58) (SHOTGUN) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO BAL 39 FOR 6 YARDS (14-K.HAMILTON).",0,,,2024,6,SHOTGUN,PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,45,OPP,0,,0,,0
2024092210,2024-09-22,4,8,2,DAL,BAL,1,10,55,,0,,0,"(8:02) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 87-J.FERGUSON (53-K.VAN NOY). BAL-29-A.WASHINGTON WAS INJURED DURING THE PLAY.",0,,,2024,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,45,OPP,0,,0,,0
2024092210,2024-09-22,4,8,53,DAL,BAL,0,0,100,,1,,0,"TIMEOUT AT 08:53.",0,,,2024,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2024092210,2024-09-22,4,8,53,DAL,BAL,0,0,98,,1,,0,"TWO-POINT CONVERSION ATTEMPT. 4-D.PRESCOTT PASS TO 88-C.LAMB IS INCOMPLETE. ATTEMPT FAILS.",0,,,2024,0,"UNDER CENTER","TWO-POINT CONVERSION",0,0,0,0,,0,0,0,,0,0,0,0,1,0,,2,OPP,0,,0,,0
2024092210,2024-09-22,4,8,57,DAL,BAL,1,1,99,,1,,0,"(8:57) (NO HUDDLE) 4-D.PRESCOTT UP THE MIDDLE FOR 1 YARD, TOUCHDOWN.",0,,,2024,1,"NO HUDDLE",RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,CENTER,1,OPP,0,,0,,0
2024092210,2024-09-22,4,9,19,DAL,BAL,1,10,76,,1,,0,"(9:19) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS DEEP MIDDLE TO 9-K.TURPIN TO BAL 1 FOR 23 YARDS (32-M.WILLIAMS; 39-E.JACKSON).",0,,,2024,23,"NO HUDDLE SHOTGUN",PASS,0,1,0,0,"DEEP MIDDLE",0,0,0,,0,0,0,0,0,0,,24,OPP,0,,0,,0
2024092210,2024-09-22,4,9,45,DAL,BAL,2,10,57,,1,,0,"(9:45) (SHOTGUN) 4-D.PRESCOTT PASS DEEP MIDDLE TO 1-J.TOLBERT TO BAL 24 FOR 19 YARDS (21-B.STEPHENS).",0,,,2024,19,SHOTGUN,PASS,0,1,0,0,"DEEP MIDDLE",0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
2024092210,2024-09-22,4,9,49,DAL,BAL,1,10,57,,0,,0,"(9:49) (NO HUDDLE, SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 23-R.DOWDLE.",0,,,2024,0,"NO HUDDLE SHOTGUN",PASS,0,1,1,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
2024092210,2024-09-22,4,10,41,DAL,BAL,0,0,100,,1,,0,"TIMEOUT AT 10:41.",0,,,2024,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OPP,0,,0,,0
2024092210,2024-09-22,4,10,44,BAL,DAL,4,2,72,,0,,0,"(10:44) 9-J.TUCKER 46 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-46-N.MOORE, HOLDER-11-J.STOUT.",0,,,2024,0,"FIELD GOAL","FIELD GOAL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,28,OPP,0,,0,,0
2024092210,2024-09-22,4,11,27,BAL,DAL,3,5,69,,0,,0,"(11:27) 22-D.HENRY UP THE MIDDLE TO DAL 28 FOR 3 YARDS (90-D.LAWRENCE, 50-E.KENDRICKS).",0,,,2024,3,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,31,OPP,0,,0,,0
2024092210,2024-09-22,4,12,9,BAL,DAL,2,9,65,,0,,0,"(12:09) 22-D.HENRY RIGHT TACKLE TO DAL 31 FOR 4 YARDS (18-D.CLARK).",0,,,2024,4,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT TACKLE",35,OPP,0,,0,,0
2024092210,2024-09-22,4,12,42,BAL,DAL,1,10,64,,0,,0,"(12:42) 43-J.HILL LEFT END TO DAL 35 FOR 1 YARD (11-M.PARSONS).",0,,,2024,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT END",36,OPP,0,,0,,0
2024092210,2024-09-22,4,13,26,BAL,DAL,2,8,52,,1,,0,"(13:26) 8-L.JACKSON PASS SHORT RIGHT TO 7-R.BATEMAN TO DAL 36 FOR 12 YARDS (18-D.CLARK; 6-DO.WILSON).",0,,,2024,12,"UNDER CENTER",PASS,0,1,0,0,"SHORT RIGHT",0,0,0,,0,0,0,0,0,0,,48,OPP,0,,0,,0
